"ec5_uuid","created_at","uploaded_at","created_by","title","team","event_type","date","general_location","bag_comments","bag_label_photo","survey_name","trawl_cruise","trawl_species_code","trawl_set","JHS_transect","JHS_station"
"8c478150-3b68-11f1-8c5b-5bcc6c41b100","2026-04-18T20:52:44.000Z","2026-04-18T20:54:27.000Z","autumnwang1211@gmail.com","19/09/2024 SOG Midwater Salmon Trawl","DFO","Trawl","19/09/2024","","","8c478150-3b68-11f1-8c5b-5bcc6c41b100_1776545643.jpg","SOG Midwater Salmon Trawl","2024-027","115J  Coho",29,NA,NA
"a7da3760-3b4e-11f1-8c1d-c5596aa8a42d","2026-04-18T17:47:23.000Z","2026-04-18T19:02:23.000Z","autumnwang1211@gmail.com","26/06/2025 SOG Midwater Salmon Trawl","DFO","Trawl","26/06/2025","","","a7da3760-3b4e-11f1-8c1d-c5596aa8a42d_1776534468.jpg","SOG Midwater Salmon Trawl","2025-024","115J  Coho",117,NA,NA
"96fbe9f0-3aa6-11f1-a283-65a54b3c9c16","2026-04-17T21:44:19.000Z","2026-04-17T21:46:10.000Z","autumnwang1211@gmail.com","18/06/2025 SOG Midwater Salmon Trawl","DFO","Trawl","18/06/2025","","","96fbe9f0-3aa6-11f1-a283-65a54b3c9c16_1776462346.jpg","SOG Midwater Salmon Trawl","2025-024","115J  Coho",13,NA,NA
"0abbb190-3a7a-11f1-8a6b-874c52832cf3","2026-04-17T16:25:26.000Z","2026-04-17T16:27:05.000Z","autumnwang1211@gmail.com","18/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","18/09/2025","","","0abbb190-3a7a-11f1-8a6b-874c52832cf3_1776443197.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",27,NA,NA
"1a32e760-aa7b-4bfd-a580-94d35d407a4a","2026-04-13T21:27:41.000Z","2026-04-13T21:28:45.000Z","jessqualley@gmail.com","21/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","21/09/2025","","","1a32e760-aa7b-4bfd-a580-94d35d407a4a_1776115623.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",58,NA,NA
"e96e2f12-a4e0-4fa9-b40a-6157b1c6987d","2026-04-13T17:20:39.000Z","2026-04-13T17:20:45.000Z","jessqualley@gmail.com","20/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","20/09/2025","","","e96e2f12-a4e0-4fa9-b40a-6157b1c6987d_1776100822.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",46,NA,NA
"38e64c35-34b2-4126-bf37-7776fc18cb52","2026-04-13T16:29:04.000Z","2026-04-13T16:36:00.000Z","jessqualley@gmail.com","25/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","25/09/2025","","","38e64c35-34b2-4126-bf37-7776fc18cb52_1776097719.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",117,NA,NA
"a5964521-9557-44bf-8ca4-ac733051d3fb","2026-04-10T21:15:19.000Z","2026-04-10T21:34:50.000Z","jessqualley@gmail.com","17/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","17/09/2025","","","a5964521-9557-44bf-8ca4-ac733051d3fb_1775855699.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",21,NA,NA
"ef275770-34f9-11f1-836b-8763c659090b","2026-04-10T16:25:48.000Z","2026-04-10T16:26:40.000Z","autumnwang1211@gmail.com","16/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","16/09/2025","","","ef275770-34f9-11f1-836b-8763c659090b_1775838376.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",12,NA,NA
"a4317f40-343e-11f1-b3d3-6dcfec4eaeec","2026-04-09T18:05:07.000Z","2026-04-09T18:06:08.000Z","autumnwang1211@gmail.com","17/09/2025 SOG Midwater Salmon Trawl","DFO","Trawl","17/09/2025","","","a4317f40-343e-11f1-b3d3-6dcfec4eaeec_1775757947.jpg","SOG Midwater Salmon Trawl","2025-026","115J  Coho",17,NA,NA
